case_id,year,month,age,gender,division,relation_to_accused,mode_of_abduction,outcome
C0330,2025,9,7,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0331,2025,10,14,Male,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0332,2025,5,11,Female,Sylhet,Relative,Lured/deceived,Still missing
C0333,2025,5,7,Female,Rangpur,Stranger,Taken from home,Rescued/Recovered
C0334,2026,10,6,Female,Dhaka,Stranger,Taken from home,Still missing
C0335,2024,1,9,Male,Chattogram,Domestic worker/employer,Taken from home,Deceased
C0336,2026,6,5,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered
C0337,2025,6,7,Female,Sylhet,Neighbor,Taken from home,Rescued/Recovered
C0338,2026,7,10,Male,Dhaka,Neighbor,Taken from public place,Still missing
C0339,2024,3,13,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0340,2025,7,11,Male,Khulna,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0341,2024,6,2,Female,Khulna,Domestic worker/employer,Taken from home,Rescued/Recovered
C0342,2026,7,10,Female,Barishal,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0343,2025,1,9,Male,Chattogram,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0344,2026,6,10,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0345,2025,6,14,Male,Rangpur,Stranger,Taken from home,Rescued/Recovered
C0346,2025,4,2,Female,Sylhet,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0347,2025,3,7,Female,Barishal,Neighbor,Taken from public place,Rescued/Recovered
C0348,2026,4,11,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased
C0349,2025,6,4,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0350,2025,2,14,Female,Khulna,Relative,Ransom abduction,Rescued/Recovered
C0351,2024,11,10,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0352,2024,6,12,Female,Mymensingh,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0353,2024,9,7,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0354,2026,12,12,Female,Khulna,Domestic worker/employer,Taken from home,Rescued/Recovered
C0355,2025,2,12,Female,Sylhet,Stranger,Taken from home,Rescued/Recovered
C0356,2024,7,10,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0357,2026,10,10,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0358,2024,7,10,Female,Rajshahi,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0359,2025,6,6,Male,Chattogram,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0360,2026,6,9,Male,Chattogram,Relative,Lured/deceived,Rescued/Recovered
C0361,2026,1,9,Female,Rajshahi,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0362,2026,6,10,Female,Rangpur,Relative,Trafficking suspected,Rescued/Recovered
C0363,2025,12,12,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered
C0364,2026,12,6,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered
C0365,2024,1,9,Male,Dhaka,Relative,Taken from public place,Rescued/Recovered
C0366,2026,8,14,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0367,2026,5,7,Female,Dhaka,Neighbor,Trafficking suspected,Deceased
C0368,2026,11,6,Male,Dhaka,Stranger,Taken from home,Rescued/Recovered
C0369,2025,1,10,Female,Rajshahi,Relative,Lured/deceived,Rescued/Recovered
C0370,2024,11,12,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0371,2026,10,9,Male,Mymensingh,Stranger,Taken from public place,Deceased
C0372,2025,2,13,Female,Dhaka,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0373,2025,1,12,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0374,2026,10,12,Female,Khulna,Relative,Ransom abduction,Deceased
C0375,2026,3,11,Male,Sylhet,Neighbor,Trafficking suspected,Rescued/Recovered
C0376,2025,6,16,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased
C0377,2025,11,8,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0378,2024,6,3,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0379,2024,6,14,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0380,2024,6,8,Female,Chattogram,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0381,2026,2,9,Male,Dhaka,Neighbor,Ransom abduction,Deceased
C0382,2026,12,13,Male,Dhaka,Stranger,Taken from public place,Rescued/Recovered
C0383,2025,5,4,Male,Chattogram,Neighbor,Trafficking suspected,Deceased
C0384,2025,4,5,Male,Mymensingh,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0385,2026,5,4,Female,Rajshahi,Relative,Ransom abduction,Rescued/Recovered
C0386,2026,12,6,Female,Chattogram,Relative,Taken from home,Deceased
C0387,2026,2,10,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0388,2025,10,11,Female,Dhaka,Stranger,Taken from home,Deceased
C0389,2026,8,10,Male,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0390,2025,10,4,Male,Khulna,Neighbor,Taken from public place,Still missing
C0391,2025,12,2,Male,Sylhet,Neighbor,Lured/deceived,Rescued/Recovered
C0392,2026,10,9,Female,Rangpur,Domestic worker/employer,Taken from home,Rescued/Recovered
C0393,2025,11,7,Female,Mymensingh,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0394,2025,3,10,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered
C0395,2025,9,11,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered
C0396,2025,6,9,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0397,2025,6,11,Female,Dhaka,Stranger,Ransom abduction,Still missing
C0398,2026,11,10,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0399,2025,12,11,Male,Chattogram,Domestic worker/employer,Ransom abduction,Still missing
C0400,2024,8,7,Female,Dhaka,Relative,Ransom abduction,Deceased
C0401,2026,6,8,Female,Sylhet,Relative,Taken from home,Rescued/Recovered
C0402,2025,6,10,Male,Rajshahi,Relative,Taken from public place,Rescued/Recovered
C0403,2026,6,12,Female,Chattogram,Relative,Taken from home,Rescued/Recovered
C0404,2024,6,8,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0405,2025,6,11,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0406,2025,2,8,Female,Dhaka,Relative,Lured/deceived,Still missing
C0407,2026,2,9,Male,Sylhet,Stranger,Ransom abduction,Rescued/Recovered
C0408,2024,9,12,Male,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered
C0409,2026,6,3,Male,Khulna,Relative,Ransom abduction,Still missing
C0410,2025,11,5,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0411,2025,7,4,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0412,2025,1,2,Female,Chattogram,Stranger,Trafficking suspected,Rescued/Recovered
C0413,2024,3,7,Female,Khulna,Stranger,Lured/deceived,Still missing
C0414,2025,4,11,Male,Barishal,Stranger,Lured/deceived,Rescued/Recovered
C0415,2025,12,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0416,2025,4,10,Female,Rangpur,Relative,Taken from home,Rescued/Recovered
C0417,2026,6,12,Male,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered
C0418,2025,11,13,Female,Rangpur,Neighbor,Lured/deceived,Rescued/Recovered
C0419,2024,12,9,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0420,2024,4,13,Male,Dhaka,Neighbor,Lured/deceived,Deceased
C0421,2024,1,9,Female,Sylhet,Relative,Lured/deceived,Rescued/Recovered
C0422,2024,3,6,Female,Dhaka,Relative,Lured/deceived,Still missing
C0423,2026,2,7,Female,Chattogram,Neighbor,Taken from home,Rescued/Recovered
C0424,2024,4,4,Female,Chattogram,Stranger,Ransom abduction,Rescued/Recovered
C0425,2026,6,6,Female,Dhaka,Domestic worker/employer,Taken from home,Rescued/Recovered
C0426,2024,11,8,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered
C0427,2024,6,12,Female,Sylhet,Domestic worker/employer,Ransom abduction,Still missing
C0428,2026,7,15,Female,Sylhet,Neighbor,Taken from home,Deceased
C0429,2025,4,5,Female,Dhaka,Domestic worker/employer,Ransom abduction,Still missing
C0430,2025,9,10,Male,Chattogram,Domestic worker/employer,Taken from public place,Rescued/Recovered
C0431,2026,7,6,Male,Dhaka,Neighbor,Taken from public place,Still missing
C0432,2026,10,11,Male,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0433,2026,11,9,Male,Dhaka,Domestic worker/employer,Lured/deceived,Deceased
C0434,2024,6,3,Male,Rangpur,Domestic worker/employer,Trafficking suspected,Rescued/Recovered
C0435,2025,2,12,Female,Sylhet,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0436,2026,4,7,Female,Barishal,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered
C0437,2026,6,7,Female,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered
C0438,2024,11,6,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered
C0439,2025,6,7,Female,Chattogram,Family friend/acquaintance,Ransom abduction,Deceased
C0440,2025,9,10,Male,Chattogram,Family friend/acquaintance,Taken from home,Still missing
C0441,2024,6,8,Male,Chattogram,Relative,Ransom abduction,Deceased
C0442,2026,4,10,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered
C0443,2025,5,10,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered
C0444,2025,7,13,Female,Mymensingh,Stranger,Ransom abduction,Rescued/Recovered
C0445,2024,7,8,Male,Chattogram,Neighbor,Ransom abduction,Rescued/Recovered
C0446,2025,6,4,Male,Mymensingh,Stranger,Taken from public place,Rescued/Recovered
C0447,2024,4,12,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered
C0448,2025,8,8,Female,Chattogram,Relative,Lured/deceived,Rescued/Recovered
C0449,2024,3,13,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0450,2026,11,10,Female,Dhaka,Relative,Taken from home,Rescued/Recovered
C0451,2024,4,9,Male,Dhaka,Domestic worker/employer,Taken from home,Rescued/Recovered
C0452,2025,2,10,Male,Dhaka,Stranger,Taken from public place,Rescued/Recovered
C0453,2024,6,15,Female,Rangpur,Relative,Taken from home,Deceased
C0454,2024,6,16,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0455,2024,6,9,Female,Rajshahi,Neighbor,Taken from home,Still missing
C0456,2024,6,10,Female,Chattogram,Relative,Ransom abduction,Rescued/Recovered
C0457,2024,12,12,Female,Chattogram,Domestic worker/employer,Trafficking suspected,Still missing
C0458,2025,6,6,Female,Chattogram,Stranger,Trafficking suspected,Still missing
C0459,2026,6,10,Male,Dhaka,Neighbor,Taken from public place,Still missing
C0460,2024,6,9,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered
C0461,2025,2,10,Female,Barishal,Relative,Taken from public place,Rescued/Recovered
C0462,2025,6,6,Female,Khulna,Stranger,Ransom abduction,Rescued/Recovered
C0463,2024,4,4,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered
C0464,2025,7,2,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0465,2024,1,5,Female,Rangpur,Domestic worker/employer,Ransom abduction,Rescued/Recovered
C0466,2024,12,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0467,2025,6,8,Male,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0468,2026,11,15,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0469,2026,6,13,Female,Barishal,Neighbor,Taken from home,Rescued/Recovered
C0470,2026,2,6,Male,Rajshahi,Neighbor,Taken from public place,Still missing
C0471,2025,9,10,Female,Khulna,Family friend/acquaintance,Lured/deceived,Still missing
C0472,2024,7,8,Female,Barishal,Relative,Ransom abduction,Rescued/Recovered
C0473,2025,9,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered
C0474,2024,6,10,Male,Rangpur,Relative,Lured/deceived,Rescued/Recovered
C0475,2024,7,11,Female,Chattogram,Stranger,Ransom abduction,Rescued/Recovered
C0476,2024,10,8,Female,Rajshahi,Neighbor,Taken from public place,Rescued/Recovered
C0477,2025,7,12,Female,Dhaka,Relative,Ransom abduction,Rescued/Recovered
C0478,2025,6,5,Male,Mymensingh,Stranger,Taken from home,Deceased
C0479,2024,7,9,Female,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered
C0480,2026,7,17,Female,Dhaka,Stranger,Taken from home,Still missing
C0481,2025,12,10,Male,Chattogram,Relative,Taken from public place,Rescued/Recovered
C0482,2026,6,14,Male,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered
C0483,2024,6,9,Male,Dhaka,Family friend/acquaintance,Taken from public place,Still missing
C0484,2025,9,11,Female,Rajshahi,Neighbor,Taken from public place,Rescued/Recovered
C0485,2024,6,9,Female,Dhaka,Stranger,Taken from public place,Still missing
C0486,2025,8,8,Male,Rangpur,Relative,Taken from home,Rescued/Recovered
C0487,2024,6,7,Male,Dhaka,Neighbor,Ransom abduction,Rescued/Recovered
C0488,2024,4,10,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered
C0489,2026,8,6,Male,Chattogram,Family friend/acquaintance,Lured/deceived,Still missing
C0490,2025,3,11,Female,Rajshahi,Neighbor,Trafficking suspected,Rescued/Recovered
C0491,2024,4,12,Female,Chattogram,Neighbor,Taken from public place,Still missing
C0492,2026,7,10,Female,Chattogram,Neighbor,Trafficking suspected,Still missing
C0493,2024,8,8,Female,Mymensingh,Relative,Trafficking suspected,Still missing
C0494,2025,11,10,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered
C0495,2025,5,8,Male,Dhaka,Family friend/acquaintance,Ransom abduction,Still missing
C0496,2025,2,12,Female,Rajshahi,Neighbor,Taken from public place,Deceased
C0497,2025,12,3,Female,Sylhet,Neighbor,Lured/deceived,Rescued/Recovered
C0498,2024,3,8,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered
C0499,2026,4,3,Female,Chattogram,Relative,Ransom abduction,Rescued/Recovered
C0500,2024,5,4,Female,Rangpur,Family friend/acquaintance,Taken from public place,Rescued/Recovered
