case_id,year,month,age,gender,division,relation_to_accused,mode_of_abduction,outcome,age_group,cluster,high_risk
C0278,2025,8,5,Female,Khulna,Family friend/acquaintance,Taken from home,Rescued/Recovered,0-5,1,0
C0279,2025,6,13,Male,Khulna,Family friend/acquaintance,Lured/deceived,Still missing,10-13,3,1
C0280,2024,4,10,Male,Khulna,Family friend/acquaintance,Trafficking suspected,Deceased,10-13,3,1
C0281,2024,6,11,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,10-13,3,0
C0282,2025,8,3,Female,Rangpur,Neighbor,Lured/deceived,Rescued/Recovered,0-5,2,0
C0283,2024,5,12,Female,Chattogram,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0284,2024,9,10,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,10-13,1,0
C0285,2024,11,5,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,0-5,0,0
C0286,2026,6,7,Female,Khulna,Neighbor,Lured/deceived,Rescued/Recovered,6-9,0,0
C0287,2026,7,10,Female,Dhaka,Relative,Lured/deceived,Still missing,10-13,0,1
C0288,2026,1,9,Female,Chattogram,Relative,Taken from public place,Rescued/Recovered,6-9,1,0
C0289,2026,11,8,Male,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered,6-9,3,0
C0290,2025,6,9,Male,Dhaka,Neighbor,Trafficking suspected,Rescued/Recovered,6-9,3,0
C0291,2024,11,8,Female,Dhaka,Relative,Trafficking suspected,Still missing,6-9,1,1
C0292,2025,6,9,Female,Mymensingh,Stranger,Taken from public place,Still missing,6-9,1,1
C0293,2024,1,14,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered,14-17,1,0
C0294,2025,1,1,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,0-5,0,0
C0295,2025,7,8,Female,Rangpur,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,6-9,2,0
C0296,2025,6,10,Female,Sylhet,Stranger,Taken from public place,Rescued/Recovered,10-13,2,0
C0297,2025,1,10,Male,Chattogram,Relative,Lured/deceived,Rescued/Recovered,10-13,3,0
C0298,2026,8,8,Female,Rajshahi,Relative,Lured/deceived,Rescued/Recovered,6-9,2,0
C0299,2026,10,3,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased,0-5,3,1
C0300,2026,6,10,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered,10-13,0,0
C0301,2026,6,15,Female,Chattogram,Relative,Taken from home,Rescued/Recovered,14-17,1,0
C0302,2025,1,4,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,1,0
C0303,2024,9,12,Female,Rajshahi,Family friend/acquaintance,Ransom abduction,Deceased,10-13,2,1
C0304,2026,6,8,Female,Sylhet,Stranger,Taken from public place,Deceased,6-9,2,1
C0305,2025,10,9,Male,Dhaka,Neighbor,Ransom abduction,Still missing,6-9,3,1
C0306,2025,6,6,Female,Chattogram,Relative,Taken from home,Rescued/Recovered,6-9,1,0
C0307,2025,6,8,Female,Dhaka,Relative,Ransom abduction,Rescued/Recovered,6-9,0,0
C0308,2026,5,13,Female,Sylhet,Domestic worker/employer,Taken from home,Still missing,10-13,2,1
C0309,2026,3,11,Female,Dhaka,Relative,Lured/deceived,Still missing,10-13,0,1
C0310,2025,9,15,Female,Rajshahi,Relative,Trafficking suspected,Rescued/Recovered,14-17,2,0
C0311,2026,6,13,Female,Chattogram,Domestic worker/employer,Lured/deceived,Rescued/Recovered,10-13,0,0
C0312,2025,6,10,Male,Dhaka,Relative,Lured/deceived,Rescued/Recovered,10-13,3,0
C0313,2025,12,15,Female,Rajshahi,Neighbor,Lured/deceived,Still missing,14-17,0,1
C0314,2025,12,10,Female,Khulna,Neighbor,Taken from home,Still missing,10-13,0,1
C0315,2025,10,12,Male,Chattogram,Neighbor,Taken from home,Rescued/Recovered,10-13,3,0
C0316,2026,4,8,Male,Khulna,Neighbor,Taken from public place,Rescued/Recovered,6-9,3,0
C0317,2024,6,9,Female,Mymensingh,Relative,Ransom abduction,Rescued/Recovered,6-9,0,0
C0318,2026,10,7,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered,6-9,0,0
C0319,2025,6,12,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered,10-13,1,0
C0320,2026,2,5,Female,Dhaka,Neighbor,Taken from home,Still missing,0-5,1,1
C0321,2026,9,12,Female,Barishal,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,10-13,0,0
C0322,2026,6,8,Male,Chattogram,Neighbor,Lured/deceived,Rescued/Recovered,6-9,3,0
C0323,2026,6,13,Female,Chattogram,Domestic worker/employer,Lured/deceived,Rescued/Recovered,10-13,0,0
C0324,2026,12,11,Male,Dhaka,Neighbor,Taken from home,Rescued/Recovered,10-13,3,0
C0325,2025,6,15,Female,Sylhet,Family friend/acquaintance,Taken from public place,Rescued/Recovered,14-17,2,0
C0326,2026,6,11,Male,Dhaka,Relative,Ransom abduction,Rescued/Recovered,10-13,3,0
C0327,2026,6,4,Male,Rajshahi,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,3,0
C0328,2024,6,9,Female,Dhaka,Relative,Ransom abduction,Still missing,6-9,0,1
C0329,2025,2,5,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered,0-5,1,0
C0330,2025,9,7,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,6-9,0,0
C0331,2025,10,14,Male,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered,14-17,3,0
C0332,2025,5,11,Female,Sylhet,Relative,Lured/deceived,Still missing,10-13,2,1
C0333,2025,5,7,Female,Rangpur,Stranger,Taken from home,Rescued/Recovered,6-9,2,0
C0334,2026,10,6,Female,Dhaka,Stranger,Taken from home,Still missing,6-9,0,1
C0335,2024,1,9,Male,Chattogram,Domestic worker/employer,Taken from home,Deceased,6-9,3,1
C0336,2026,6,5,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered,0-5,1,0
C0337,2025,6,7,Female,Sylhet,Neighbor,Taken from home,Rescued/Recovered,6-9,2,0
C0338,2026,7,10,Male,Dhaka,Neighbor,Taken from public place,Still missing,10-13,3,1
C0339,2024,3,13,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered,10-13,1,0
C0340,2025,7,11,Male,Khulna,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,10-13,3,0
C0341,2024,6,2,Female,Khulna,Domestic worker/employer,Taken from home,Rescued/Recovered,0-5,1,0
C0342,2026,7,10,Female,Barishal,Domestic worker/employer,Taken from public place,Rescued/Recovered,10-13,1,0
C0343,2025,1,9,Male,Chattogram,Family friend/acquaintance,Taken from public place,Rescued/Recovered,6-9,3,0
C0344,2026,6,10,Male,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,10-13,3,0
C0345,2025,6,14,Male,Rangpur,Stranger,Taken from home,Rescued/Recovered,14-17,2,0
C0346,2025,4,2,Female,Sylhet,Domestic worker/employer,Taken from public place,Rescued/Recovered,0-5,2,0
C0347,2025,3,7,Female,Barishal,Neighbor,Taken from public place,Rescued/Recovered,6-9,1,0
C0348,2026,4,11,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased,10-13,0,1
C0349,2025,6,4,Female,Dhaka,Stranger,Taken from home,Rescued/Recovered,0-5,1,0
C0350,2025,2,14,Female,Khulna,Relative,Ransom abduction,Rescued/Recovered,14-17,0,0
C0351,2024,11,10,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered,10-13,0,0
C0352,2024,6,12,Female,Mymensingh,Domestic worker/employer,Ransom abduction,Rescued/Recovered,10-13,2,0
C0353,2024,9,7,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered,6-9,0,0
C0354,2026,12,12,Female,Khulna,Domestic worker/employer,Taken from home,Rescued/Recovered,10-13,0,0
C0355,2025,2,12,Female,Sylhet,Stranger,Taken from home,Rescued/Recovered,10-13,2,0
C0356,2024,7,10,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,10-13,3,0
C0357,2026,10,10,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0358,2024,7,10,Female,Rajshahi,Family friend/acquaintance,Taken from home,Rescued/Recovered,10-13,2,0
C0359,2025,6,6,Male,Chattogram,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered,6-9,3,0
C0360,2026,6,9,Male,Chattogram,Relative,Lured/deceived,Rescued/Recovered,6-9,3,0
C0361,2026,1,9,Female,Rajshahi,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,6-9,2,0
C0362,2026,6,10,Female,Rangpur,Relative,Trafficking suspected,Rescued/Recovered,10-13,2,0
C0363,2025,12,12,Female,Chattogram,Stranger,Taken from public place,Rescued/Recovered,10-13,1,0
C0364,2026,12,6,Female,Dhaka,Relative,Lured/deceived,Rescued/Recovered,6-9,0,0
C0365,2024,1,9,Male,Dhaka,Relative,Taken from public place,Rescued/Recovered,6-9,3,0
C0366,2026,8,14,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,14-17,3,0
C0367,2026,5,7,Female,Dhaka,Neighbor,Trafficking suspected,Deceased,6-9,1,1
C0368,2026,11,6,Male,Dhaka,Stranger,Taken from home,Rescued/Recovered,6-9,3,0
C0369,2025,1,10,Female,Rajshahi,Relative,Lured/deceived,Rescued/Recovered,10-13,2,0
C0370,2024,11,12,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0371,2026,10,9,Male,Mymensingh,Stranger,Taken from public place,Deceased,6-9,3,1
C0372,2025,2,13,Female,Dhaka,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0373,2025,1,12,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0374,2026,10,12,Female,Khulna,Relative,Ransom abduction,Deceased,10-13,0,1
C0375,2026,3,11,Male,Sylhet,Neighbor,Trafficking suspected,Rescued/Recovered,10-13,2,0
C0376,2025,6,16,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Deceased,14-17,0,1
C0377,2025,11,8,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,6-9,0,0
C0378,2024,6,3,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,0-5,1,0
C0379,2024,6,14,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered,14-17,1,0
C0380,2024,6,8,Female,Chattogram,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,6-9,0,0
C0381,2026,2,9,Male,Dhaka,Neighbor,Ransom abduction,Deceased,6-9,3,1
C0382,2026,12,13,Male,Dhaka,Stranger,Taken from public place,Rescued/Recovered,10-13,3,0
C0383,2025,5,4,Male,Chattogram,Neighbor,Trafficking suspected,Deceased,0-5,3,1
C0384,2025,4,5,Male,Mymensingh,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,0-5,3,0
C0385,2026,5,4,Female,Rajshahi,Relative,Ransom abduction,Rescued/Recovered,0-5,2,0
C0386,2026,12,6,Female,Chattogram,Relative,Taken from home,Deceased,6-9,0,1
C0387,2026,2,10,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0388,2025,10,11,Female,Dhaka,Stranger,Taken from home,Deceased,10-13,0,1
C0389,2026,8,10,Male,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,10-13,3,0
C0390,2025,10,4,Male,Khulna,Neighbor,Taken from public place,Still missing,0-5,3,1
C0391,2025,12,2,Male,Sylhet,Neighbor,Lured/deceived,Rescued/Recovered,0-5,2,0
C0392,2026,10,9,Female,Rangpur,Domestic worker/employer,Taken from home,Rescued/Recovered,6-9,2,0
C0393,2025,11,7,Female,Mymensingh,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,6-9,0,0
C0394,2025,3,10,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0395,2025,9,11,Female,Mymensingh,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0396,2025,6,9,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,6-9,1,0
C0397,2025,6,11,Female,Dhaka,Stranger,Ransom abduction,Still missing,10-13,0,1
C0398,2026,11,10,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,10-13,0,0
C0399,2025,12,11,Male,Chattogram,Domestic worker/employer,Ransom abduction,Still missing,10-13,3,1
C0400,2024,8,7,Female,Dhaka,Relative,Ransom abduction,Deceased,6-9,0,1
C0401,2026,6,8,Female,Sylhet,Relative,Taken from home,Rescued/Recovered,6-9,2,0
C0402,2025,6,10,Male,Rajshahi,Relative,Taken from public place,Rescued/Recovered,10-13,3,0
C0403,2026,6,12,Female,Chattogram,Relative,Taken from home,Rescued/Recovered,10-13,1,0
C0404,2024,6,8,Male,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,6-9,3,0
C0405,2025,6,11,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,10-13,3,0
C0406,2025,2,8,Female,Dhaka,Relative,Lured/deceived,Still missing,6-9,0,1
C0407,2026,2,9,Male,Sylhet,Stranger,Ransom abduction,Rescued/Recovered,6-9,2,0
C0408,2024,9,12,Male,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered,10-13,3,0
C0409,2026,6,3,Male,Khulna,Relative,Ransom abduction,Still missing,0-5,3,1
C0410,2025,11,5,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,3,0
C0411,2025,7,4,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,3,0
C0412,2025,1,2,Female,Chattogram,Stranger,Trafficking suspected,Rescued/Recovered,0-5,1,0
C0413,2024,3,7,Female,Khulna,Stranger,Lured/deceived,Still missing,6-9,0,1
C0414,2025,4,11,Male,Barishal,Stranger,Lured/deceived,Rescued/Recovered,10-13,3,0
C0415,2025,12,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,6-9,3,0
C0416,2025,4,10,Female,Rangpur,Relative,Taken from home,Rescued/Recovered,10-13,2,0
C0417,2026,6,12,Male,Dhaka,Family friend/acquaintance,Taken from home,Rescued/Recovered,10-13,3,0
C0418,2025,11,13,Female,Rangpur,Neighbor,Lured/deceived,Rescued/Recovered,10-13,2,0
C0419,2024,12,9,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,6-9,3,0
C0420,2024,4,13,Male,Dhaka,Neighbor,Lured/deceived,Deceased,10-13,3,1
C0421,2024,1,9,Female,Sylhet,Relative,Lured/deceived,Rescued/Recovered,6-9,2,0
C0422,2024,3,6,Female,Dhaka,Relative,Lured/deceived,Still missing,6-9,0,1
C0423,2026,2,7,Female,Chattogram,Neighbor,Taken from home,Rescued/Recovered,6-9,1,0
C0424,2024,4,4,Female,Chattogram,Stranger,Ransom abduction,Rescued/Recovered,0-5,0,0
C0425,2026,6,6,Female,Dhaka,Domestic worker/employer,Taken from home,Rescued/Recovered,6-9,1,0
C0426,2024,11,8,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered,6-9,1,0
C0427,2024,6,12,Female,Sylhet,Domestic worker/employer,Ransom abduction,Still missing,10-13,2,1
C0428,2026,7,15,Female,Sylhet,Neighbor,Taken from home,Deceased,14-17,2,1
C0429,2025,4,5,Female,Dhaka,Domestic worker/employer,Ransom abduction,Still missing,0-5,0,1
C0430,2025,9,10,Male,Chattogram,Domestic worker/employer,Taken from public place,Rescued/Recovered,10-13,3,0
C0431,2026,7,6,Male,Dhaka,Neighbor,Taken from public place,Still missing,6-9,3,1
C0432,2026,10,11,Male,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,10-13,3,0
C0433,2026,11,9,Male,Dhaka,Domestic worker/employer,Lured/deceived,Deceased,6-9,3,1
C0434,2024,6,3,Male,Rangpur,Domestic worker/employer,Trafficking suspected,Rescued/Recovered,0-5,2,0
C0435,2025,2,12,Female,Sylhet,Domestic worker/employer,Ransom abduction,Rescued/Recovered,10-13,2,0
C0436,2026,4,7,Female,Barishal,Family friend/acquaintance,Trafficking suspected,Rescued/Recovered,6-9,1,0
C0437,2026,6,7,Female,Chattogram,Neighbor,Trafficking suspected,Rescued/Recovered,6-9,1,0
C0438,2024,11,6,Female,Chattogram,Stranger,Lured/deceived,Rescued/Recovered,6-9,0,0
C0439,2025,6,7,Female,Chattogram,Family friend/acquaintance,Ransom abduction,Deceased,6-9,0,1
C0440,2025,9,10,Male,Chattogram,Family friend/acquaintance,Taken from home,Still missing,10-13,3,1
C0441,2024,6,8,Male,Chattogram,Relative,Ransom abduction,Deceased,6-9,3,1
C0442,2026,4,10,Female,Dhaka,Family friend/acquaintance,Lured/deceived,Rescued/Recovered,10-13,0,0
C0443,2025,5,10,Female,Dhaka,Neighbor,Lured/deceived,Rescued/Recovered,10-13,0,0
C0444,2025,7,13,Female,Mymensingh,Stranger,Ransom abduction,Rescued/Recovered,10-13,0,0
C0445,2024,7,8,Male,Chattogram,Neighbor,Ransom abduction,Rescued/Recovered,6-9,3,0
C0446,2025,6,4,Male,Mymensingh,Stranger,Taken from public place,Rescued/Recovered,0-5,3,0
C0447,2024,4,12,Female,Dhaka,Stranger,Lured/deceived,Rescued/Recovered,10-13,0,0
C0448,2025,8,8,Female,Chattogram,Relative,Lured/deceived,Rescued/Recovered,6-9,0,0
C0449,2024,3,13,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0450,2026,11,10,Female,Dhaka,Relative,Taken from home,Rescued/Recovered,10-13,0,0
C0451,2024,4,9,Male,Dhaka,Domestic worker/employer,Taken from home,Rescued/Recovered,6-9,3,0
C0452,2025,2,10,Male,Dhaka,Stranger,Taken from public place,Rescued/Recovered,10-13,3,0
C0453,2024,6,15,Female,Rangpur,Relative,Taken from home,Deceased,14-17,2,1
C0454,2024,6,16,Female,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,14-17,1,0
C0455,2024,6,9,Female,Rajshahi,Neighbor,Taken from home,Still missing,6-9,2,1
C0456,2024,6,10,Female,Chattogram,Relative,Ransom abduction,Rescued/Recovered,10-13,0,0
C0457,2024,12,12,Female,Chattogram,Domestic worker/employer,Trafficking suspected,Still missing,10-13,1,1
C0458,2025,6,6,Female,Chattogram,Stranger,Trafficking suspected,Still missing,6-9,1,1
C0459,2026,6,10,Male,Dhaka,Neighbor,Taken from public place,Still missing,10-13,3,1
C0460,2024,6,9,Female,Mymensingh,Stranger,Taken from home,Rescued/Recovered,6-9,1,0
C0461,2025,2,10,Female,Barishal,Relative,Taken from public place,Rescued/Recovered,10-13,1,0
C0462,2025,6,6,Female,Khulna,Stranger,Ransom abduction,Rescued/Recovered,6-9,0,0
C0463,2024,4,4,Female,Chattogram,Neighbor,Taken from public place,Rescued/Recovered,0-5,1,0
C0464,2025,7,2,Male,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,3,0
C0465,2024,1,5,Female,Rangpur,Domestic worker/employer,Ransom abduction,Rescued/Recovered,0-5,2,0
C0466,2024,12,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,6-9,3,0
C0467,2025,6,8,Male,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,6-9,3,0
C0468,2026,11,15,Female,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered,14-17,0,0
C0469,2026,6,13,Female,Barishal,Neighbor,Taken from home,Rescued/Recovered,10-13,1,0
C0470,2026,2,6,Male,Rajshahi,Neighbor,Taken from public place,Still missing,6-9,3,1
C0471,2025,9,10,Female,Khulna,Family friend/acquaintance,Lured/deceived,Still missing,10-13,0,1
C0472,2024,7,8,Female,Barishal,Relative,Ransom abduction,Rescued/Recovered,6-9,0,0
C0473,2025,9,8,Male,Dhaka,Neighbor,Taken from public place,Rescued/Recovered,6-9,3,0
C0474,2024,6,10,Male,Rangpur,Relative,Lured/deceived,Rescued/Recovered,10-13,2,0
C0475,2024,7,11,Female,Chattogram,Stranger,Ransom abduction,Rescued/Recovered,10-13,0,0
C0476,2024,10,8,Female,Rajshahi,Neighbor,Taken from public place,Rescued/Recovered,6-9,2,0
C0477,2025,7,12,Female,Dhaka,Relative,Ransom abduction,Rescued/Recovered,10-13,0,0
C0478,2025,6,5,Male,Mymensingh,Stranger,Taken from home,Deceased,0-5,3,1
C0479,2024,7,9,Female,Dhaka,Family friend/acquaintance,Ransom abduction,Rescued/Recovered,6-9,0,0
C0480,2026,7,17,Female,Dhaka,Stranger,Taken from home,Still missing,14-17,1,1
C0481,2025,12,10,Male,Chattogram,Relative,Taken from public place,Rescued/Recovered,10-13,3,0
C0482,2026,6,14,Male,Dhaka,Domestic worker/employer,Lured/deceived,Rescued/Recovered,14-17,3,0
C0483,2024,6,9,Male,Dhaka,Family friend/acquaintance,Taken from public place,Still missing,6-9,3,1
C0484,2025,9,11,Female,Rajshahi,Neighbor,Taken from public place,Rescued/Recovered,10-13,2,0
C0485,2024,6,9,Female,Dhaka,Stranger,Taken from public place,Still missing,6-9,1,1
C0486,2025,8,8,Male,Rangpur,Relative,Taken from home,Rescued/Recovered,6-9,2,0
C0487,2024,6,7,Male,Dhaka,Neighbor,Ransom abduction,Rescued/Recovered,6-9,3,0
C0488,2024,4,10,Female,Khulna,Neighbor,Taken from public place,Rescued/Recovered,10-13,1,0
C0489,2026,8,6,Male,Chattogram,Family friend/acquaintance,Lured/deceived,Still missing,6-9,3,1
C0490,2025,3,11,Female,Rajshahi,Neighbor,Trafficking suspected,Rescued/Recovered,10-13,2,0
C0491,2024,4,12,Female,Chattogram,Neighbor,Taken from public place,Still missing,10-13,1,1
C0492,2026,7,10,Female,Chattogram,Neighbor,Trafficking suspected,Still missing,10-13,1,1
C0493,2024,8,8,Female,Mymensingh,Relative,Trafficking suspected,Still missing,6-9,1,1
C0494,2025,11,10,Female,Dhaka,Relative,Trafficking suspected,Rescued/Recovered,10-13,1,0
C0495,2025,5,8,Male,Dhaka,Family friend/acquaintance,Ransom abduction,Still missing,6-9,3,1
C0496,2025,2,12,Female,Rajshahi,Neighbor,Taken from public place,Deceased,10-13,2,1
C0497,2025,12,3,Female,Sylhet,Neighbor,Lured/deceived,Rescued/Recovered,0-5,2,0
C0498,2024,3,8,Female,Dhaka,Family friend/acquaintance,Taken from public place,Rescued/Recovered,6-9,1,0
C0499,2026,4,3,Female,Chattogram,Relative,Ransom abduction,Rescued/Recovered,0-5,0,0
C0500,2024,5,4,Female,Rangpur,Family friend/acquaintance,Taken from public place,Rescued/Recovered,0-5,2,0
